,players,player_href,player_id,Birthday,Number,transfer_hrefs,transfer_years,transfer_club_ids,current_mv,max_mv,main_position,nationality,other_positions
29,Collin Quaner,/collin-quaner/profil/spieler/123397,123397,"Jun 18, 1991 (25)",-,"['/sk-austria-klagenfurt/transfers/verein/28760/saison_id/2021', '/without-club/transfers/verein/515/saison_id/2021', '/st-mirren-fc/transfers/verein/465/saison_id/2021', '/without-club/transfers/verein/515/saison_id/2020', '/huddersfield-town/transfers/verein/1110/saison_id/2020', '/ipswich-town/transfers/verein/677/saison_id/2018', '/huddersfield-town/transfers/verein/1110/saison_id/2018', '/1-fc-union-berlin/transfers/verein/89/saison_id/2016', '/vfr-aalen/transfers/verein/83/saison_id/2015', '/fc-ingolstadt-04/transfers/verein/4795/saison_id/2014', '/fc-hansa-rostock/transfers/verein/30/saison_id/2012', '/fc-ingolstadt-04/transfers/verein/4795/saison_id/2012', '/arminia-bielefeld/transfers/verein/10/saison_id/2011', '/fortuna-dusseldorf-u19/transfers/verein/6675/saison_id/2010', '/fortuna-dusseldorf-u17/transfers/verein/23005/saison_id/2008']","['2021', '2021', '2021', '2020', '2020', '2018', '2018', '2016', '2015', '2014', '2012', '2012', '2011', '2010', '2008']","['89', '28760', '515', '465', '515', '1110', '677', '1110', '89', '83', '4795', '30', '4795', '10', '6675', '23005']","
                -                ",€1.50m,['Centre-Forward'],"['Germany', 'Ghana']","['Left Winger', 'Right Winger']"
30,Simon Hedlund,/simon-hedlund/profil/spieler/116900,116900,"Mar 11, 1993 (23)",17,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/if-elfsborg/transfers/verein/1101/saison_id/2016', '/if-elfsborg-u19/transfers/verein/7916/saison_id/2011', '/if-elfsborg-u17/transfers/verein/41026/saison_id/2009', '/fc-trollhattan-u17/transfers/verein/22975/saison_id/2009']","['2018', '2016', '2011', '2009', '2009']","['89', '89', '1101', '7916', '41026', '22975']","
                €1.00m                ",€1.70m,['Centre-Forward'],['Sweden'],"['Attacking Midfield', 'Right Winger']"
31,Philipp Hosiner,/philipp-hosiner/profil/spieler/37788,37788,"May 15, 1989 (27)",16,"['/kickers-offenbach/transfers/verein/107/saison_id/2023', '/sg-dynamo-dresden/transfers/verein/129/saison_id/2021', '/chemnitzer-fc/transfers/verein/21/saison_id/2020', '/sk-sturm-graz/transfers/verein/122/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/stade-rennais-fc/transfers/verein/273/saison_id/2016', '/1-fc-koln/transfers/verein/3/saison_id/2015', '/stade-rennais-fc/transfers/verein/273/saison_id/2015', '/austria-vienna/transfers/verein/14/saison_id/2014', '/fc-admira-wacker-modling/transfers/verein/503/saison_id/2012', '/first-vienna-fc/transfers/verein/2364/saison_id/2011', '/sv-sandhausen/transfers/verein/254/saison_id/2010', '/tsv-1860-munchen-ii/transfers/verein/73/saison_id/2009', '/tsv-1860-munchen-u19/transfers/verein/2510/saison_id/2008', '/aka-burgenland-u16/transfers/verein/42820/saison_id/2006', '/aka-burgenland-u15/transfers/verein/42819/saison_id/2004', '/sv-st-margarethen-youth/transfers/verein/43273/saison_id/2002', '/sc-eisenstadt-youth/transfers/verein/31694/saison_id/2001']","['2023', '2021', '2020', '2019', '2018', '2016', '2015', '2015', '2014', '2012', '2011', '2010', '2009', '2008', '2006', '2004', '2002', '2001']","['89', '107', '129', '21', '122', '89', '273', '3', '273', '14', '503', '2364', '254', '73', '2510', '42820', '42819', '43273', '31694']","
                €175k                ",€3.00m,['Centre-Forward'],['Austria'],"['Attacking Midfield', 'Second Striker']"
32,Nils Stettin,/nils-stettin/profil/spieler/358883,358883,"Aug 19, 1996 (19)",-,"['/sportfreunde-lotte/transfers/verein/668/saison_id/2021', '/fc-energie-cottbus/transfers/verein/25/saison_id/2021', '/fsv-union-furstenwalde/transfers/verein/5300/saison_id/2020', '/eintracht-braunschweig-ii/transfers/verein/1212/saison_id/2018', '/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/fsv-union-furstenwalde/transfers/verein/5300/saison_id/2016', '/1-fc-union-berlin/transfers/verein/89/saison_id/2016', '/berliner-ak-07/transfers/verein/584/saison_id/2016', '/1-fc-union-berlin/transfers/verein/89/saison_id/2016', '/fc-viktoria-1889-berlin/transfers/verein/40373/saison_id/2015', '/1-fc-union-berlin/transfers/verein/89/saison_id/2015', '/1-fc-union-berlin-u19/transfers/verein/7802/saison_id/2015', '/nordberliner-sc-u19/transfers/verein/32150/saison_id/2014']","['2021', '2021', '2020', '2018', '2017', '2016', '2016', '2016', '2016', '2015', '2015', '2015', '2014']","['89', '668', '25', '5300', '1212', '89', '5300', '89', '584', '89', '40373', '89', '7802', '32150']","
                -                ",€100k,['Centre-Forward'],['Germany'],
0,Daniel Mesenhöler,/daniel-mesenholer/profil/spieler/150080,150080,"Jul 24, 1995 (21)",27,"['/hallescher-fc/transfers/verein/440/saison_id/2023', '/without-club/transfers/verein/515/saison_id/2021', '/heracles-almelo/transfers/verein/1304/saison_id/2021', '/fc-viktoria-koln/transfers/verein/1622/saison_id/2020', '/msv-duisburg/transfers/verein/52/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/1-fc-koln/transfers/verein/3/saison_id/2016', '/1-fc-koln-ii/transfers/verein/438/saison_id/2014', '/1-fc-koln-u19/transfers/verein/1461/saison_id/2013', '/1-fc-koln-u17/transfers/verein/21048/saison_id/2012', '/1-fc-koln-youth/transfers/verein/11880/saison_id/2010']","['2023', '2021', '2021', '2020', '2019', '2018', '2016', '2014', '2013', '2012', '2010']","['89', '440', '515', '1304', '1622', '52', '89', '3', '438', '1461', '21048', '11880']","
                €150k                ",€600k,['Goalkeeper'],['Germany'],
1,Jakob Busk,/jakob-busk/profil/spieler/203411,203411,"Sep 12, 1993 (23)",12,"['/fc-copenhagen/transfers/verein/190/saison_id/2015', '/sandefjord-fotball/transfers/verein/6399/saison_id/2015', '/fc-copenhagen/transfers/verein/190/saison_id/2014', '/ac-horsens/transfers/verein/2414/saison_id/2014', '/fc-copenhagen/transfers/verein/190/saison_id/2014', '/fc-copenhagen-u19/transfers/verein/16104/saison_id/2012', '/fc-copenhagen-youth/transfers/verein/52880/saison_id/2010']","['2015', '2015', '2014', '2014', '2014', '2012', '2010']","['89', '190', '6399', '190', '2414', '190', '16104', '52880']","
                €250k                ",€800k,['Goalkeeper'],['Denmark'],
2,Lennart Moser,/lennart-moser/profil/spieler/392717,392717,"Dec 6, 1999 (17)",20,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2022', '/sk-austria-klagenfurt/transfers/verein/28760/saison_id/2021', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/cercle-brugge/transfers/verein/520/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/fc-energie-cottbus/transfers/verein/25/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/1-fc-union-berlin-u19/transfers/verein/7802/saison_id/2017', '/1-fc-union-berlin-u17/transfers/verein/21099/saison_id/2016', '/1-fc-union-berlin-youth/transfers/verein/36841/saison_id/2014']","['2022', '2021', '2020', '2019', '2019', '2019', '2019', '2017', '2016', '2014']","['89', '89', '28760', '89', '520', '89', '25', '89', '7802', '21099', '36841']","
                €500k                ",€600k,['Goalkeeper'],['Germany'],
3,Michael Gspurning,/michael-gspurning/profil/spieler/17029,17029,"May 2, 1981 (36)",-,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/fc-schalke-04/transfers/verein/33/saison_id/2016', '/fc-schalke-04-ii/transfers/verein/34/saison_id/2015', '/ao-platanias/transfers/verein/21957/saison_id/2014', '/paok-thessaloniki/transfers/verein/1091/saison_id/2014', '/seattle-sounders-fc/transfers/verein/9636/saison_id/2013', '/ao-xanthi/transfers/verein/128/saison_id/2011', '/lask-amateure-oo/transfers/verein/935/saison_id/2006', '/dsv-leoben/transfers/verein/307/saison_id/2004', '/austria-vienna/transfers/verein/14/saison_id/2001', '/ask-voitsberg/transfers/verein/3260/saison_id/2000', '/ask-voitsberg-youth/transfers/verein/18323/saison_id/1998']","['2017', '2016', '2015', '2014', '2014', '2013', '2011', '2006', '2004', '2001', '2000', '1998']","['89', '89', '33', '34', '21957', '1091', '9636', '128', '935', '307', '14', '3260', '18323']","
                -                ",€1.80m,['Goalkeeper'],['Austria'],
4,Toni Leistner,/toni-leistner/profil/spieler/86916,86916,"Aug 19, 1990 (26)",37,"['/sint-truidense-vv/transfers/verein/475/saison_id/2023', '/without-club/transfers/verein/515/saison_id/2021', '/hamburger-sv/transfers/verein/41/saison_id/2021', '/queens-park-rangers/transfers/verein/1039/saison_id/2020', '/1-fc-koln/transfers/verein/3/saison_id/2019', '/queens-park-rangers/transfers/verein/1039/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/sg-dynamo-dresden/transfers/verein/129/saison_id/2014', '/hallescher-fc/transfers/verein/440/saison_id/2012', '/sg-dynamo-dresden/transfers/verein/129/saison_id/2012', '/dynamo-dresden-ii/transfers/verein/5083/saison_id/2011', '/sc-borea-dresden/transfers/verein/880/saison_id/2010', '/sc-borea-dresden-u19/transfers/verein/9349/saison_id/2009', '/sc-borea-dresden-u17/transfers/verein/52233/saison_id/2007', '/sc-borea-dresden-youth/transfers/verein/52234/saison_id/2005']","['2023', '2021', '2021', '2020', '2019', '2019', '2018', '2014', '2012', '2012', '2011', '2010', '2009', '2007', '2005']","['89', '475', '515', '41', '1039', '3', '1039', '89', '129', '440', '129', '5083', '880', '9349', '52233', '52234']","
                €500k                ",€2.50m,['Centre-Back'],['Germany'],
5,Marvin Friedrich,/marvin-friedrich/profil/spieler/196231,196231,"Dec 13, 1995 (21)",5,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2021', '/fc-augsburg/transfers/verein/167/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/fc-augsburg/transfers/verein/167/saison_id/2017', '/fc-schalke-04/transfers/verein/33/saison_id/2016', '/fc-schalke-04-u19/transfers/verein/1463/saison_id/2014', '/fc-schalke-04-u17/transfers/verein/21061/saison_id/2012', '/sc-paderborn-07-u17/transfers/verein/32312/saison_id/2011', '/osc-vellmar-youth/transfers/verein/44412/saison_id/2010', '/fsc-guxhagen-youth/transfers/verein/53075/saison_id/2008']","['2021', '2019', '2019', '2017', '2016', '2014', '2012', '2011', '2010', '2008']","['89', '89', '167', '89', '167', '33', '1463', '21061', '32312', '44412', '53075']","
                €4.00m                ",€10.00m,['Centre-Back'],['Germany'],['Right-Back']
6,Marc Torrejón,/marc-torrejon/profil/spieler/38266,38266,"Feb 18, 1986 (31)",15,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/sc-freiburg/transfers/verein/60/saison_id/2017', '/1-fc-kaiserslautern/transfers/verein/2/saison_id/2014', '/racing-santander/transfers/verein/630/saison_id/2012', '/rcd-espanyol-barcelona/transfers/verein/714/saison_id/2009', '/rcd-espanyol-b/transfers/verein/10773/saison_id/2006', '/atletico-malagueno/transfers/verein/5649/saison_id/2005', '/rcd-espanyol-b/transfers/verein/10773/saison_id/2005']","['2019', '2017', '2014', '2012', '2009', '2006', '2005', '2005']","['89', '89', '60', '2', '630', '714', '10773', '5649', '10773']","
                -                ",€8.00m,['Centre-Back'],['Spain'],['Right-Back']
7,Christoph Schösswendter,/christoph-schosswendter/profil/spieler/68379,68379,"Jul 16, 1988 (28)",3,"['/fc-blau-weiss-linz/transfers/verein/2157/saison_id/2023', '/without-club/transfers/verein/515/saison_id/2021', '/austria-vienna/transfers/verein/14/saison_id/2021', '/without-club/transfers/verein/515/saison_id/2020', '/fc-admira-wacker-modling/transfers/verein/503/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/rapid-vienna/transfers/verein/170/saison_id/2017', '/fc-admira-wacker-modling/transfers/verein/503/saison_id/2016', '/scr-altach/transfers/verein/3551/saison_id/2012', '/rapid-vienna/transfers/verein/170/saison_id/2011', '/fc-lustenau/transfers/verein/2231/saison_id/2010', '/rapid-vienna/transfers/verein/170/saison_id/2010', '/vocklabrucker-sportclub/transfers/verein/7695/saison_id/2009', '/sv-grodig/transfers/verein/10131/saison_id/2007', '/sg-saalfelden-2007-/transfers/verein/42945/saison_id/2007', '/esv-saalfelden-youth-2007-/transfers/verein/47426/saison_id/2004']","['2023', '2021', '2021', '2020', '2020', '2018', '2017', '2016', '2012', '2011', '2010', '2010', '2009', '2007', '2007', '2004']","['89', '2157', '515', '14', '515', '503', '89', '170', '503', '3551', '170', '2231', '170', '7695', '10131', '42945', '47426']","
                €125k                ",€800k,['Centre-Back'],['Austria'],['Defensive Midfield']
8,Michael Parensen,/michael-parensen/profil/spieler/18533,18533,"Jun 24, 1986 (31)",29,"['/without-club/transfers/verein/515/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/1-fc-koln-ii/transfers/verein/438/saison_id/2008', '/borussia-dortmund-ii/transfers/verein/17/saison_id/2007', '/borussia-dortmund-u19/transfers/verein/1464/saison_id/2004', '/sc-paderborn-07-u19/transfers/verein/8312/saison_id/2002']","['2020', '2020', '2008', '2007', '2004', '2002']","['89', '515', '89', '438', '17', '1464', '8312']","
                -                ",€800k,['Centre-Back'],['Germany'],"['Left-Back', 'Defensive Midfield']"
9,Fabian Schönheim,/fabian-schonheim/profil/spieler/31652,31652,"Feb 14, 1987 (30)",34,"['/without-club/transfers/verein/515/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/1-fsv-mainz-05/transfers/verein/39/saison_id/2013', '/1-fc-union-berlin/transfers/verein/89/saison_id/2012', '/1-fsv-mainz-05/transfers/verein/39/saison_id/2012', '/sv-wehen-wiesbaden/transfers/verein/108/saison_id/2011', '/1-fc-kaiserslautern/transfers/verein/2/saison_id/2008', '/1-fc-kaiserslautern-u19/transfers/verein/2371/saison_id/2005']","['2020', '2019', '2013', '2012', '2012', '2011', '2008', '2005']","['89', '515', '89', '39', '89', '39', '108', '2', '2371']","
                -                ",€1.50m,['Centre-Back'],['Germany'],"['Left-Back', 'Defensive Midfield']"
10,Lars Dietz,/lars-dietz/profil/spieler/224513,224513,"Jan 7, 1997 (20)",4,"['/wurzburger-kickers/transfers/verein/1557/saison_id/2022', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/fc-viktoria-koln/transfers/verein/1622/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/sportfreunde-lotte/transfers/verein/668/saison_id/2018', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/borussia-dortmund-ii/transfers/verein/17/saison_id/2017', '/borussia-dortmund-u19/transfers/verein/1464/saison_id/2016', '/borussia-dortmund-u17/transfers/verein/21055/saison_id/2014', '/borussia-dortmund-youth/transfers/verein/11896/saison_id/2012']","['2022', '2020', '2019', '2019', '2018', '2018', '2017', '2016', '2014', '2012']","['89', '1557', '89', '1622', '89', '668', '89', '17', '1464', '21055', '11896']","
                €250k                ",€300k,['Centre-Back'],['Germany'],['Defensive Midfield']
11,Kristian Pedersen,/kristian-pedersen/profil/spieler/331779,331779,"Aug 4, 1994 (22)",6,"['/birmingham-city/transfers/verein/337/saison_id/2022', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/hb-koge/transfers/verein/23297/saison_id/2016', '/ringsted-if/transfers/verein/24192/saison_id/2014']","['2022', '2018', '2016', '2014']","['89', '337', '89', '23297', '24192']","
                €1.20m                ",€5.00m,['Left-Back'],['Denmark'],"['Centre-Back', 'Left Midfield']"
12,Peter Kurzweg,/peter-kurzweg/profil/spieler/161936,161936,"Feb 10, 1994 (23)",13,"['/fc-ingolstadt-04/transfers/verein/4795/saison_id/2021', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/wurzburger-kickers/transfers/verein/1557/saison_id/2018', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/wurzburger-kickers/transfers/verein/1557/saison_id/2017', '/tsv-1860-munchen-ii/transfers/verein/73/saison_id/2015', '/tsv-1860-munchen-u19/transfers/verein/2510/saison_id/2013', '/tsv-1860-munchen-u17/transfers/verein/21083/saison_id/2011']","['2021', '2019', '2018', '2018', '2017', '2015', '2013', '2011']","['89', '4795', '89', '1557', '89', '1557', '73', '2510', '21083']","
                €200k                ",€400k,['Left-Back'],['Germany'],"['Right-Back', 'Left Midfield']"
13,Atsuto Uchida,/atsuto-uchida/profil/spieler/27800,27800,"Mar 27, 1988 (29)",-,"['/kashima-antlers/transfers/verein/2241/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/fc-schalke-04/transfers/verein/33/saison_id/2017', '/kashima-antlers/transfers/verein/2241/saison_id/2010', '/shimizu-higashi-high-school/transfers/verein/24098/saison_id/2005']","['2020', '2017', '2017', '2010', '2005']","['89', '2241', '89', '33', '2241', '24098']","
                -                ",€9.00m,['Right-Back'],['Japan'],
14,Christopher Trimmel,/christopher-trimmel/profil/spieler/75921,75921,"Feb 24, 1987 (30)",28,"['/rapid-vienna/transfers/verein/170/saison_id/2014', '/sk-rapid-wien-ii/transfers/verein/7001/saison_id/2009', '/ask-horitschon/transfers/verein/17888/saison_id/2008', '/ufc-mannersdorf/transfers/verein/28217/saison_id/2006']","['2014', '2009', '2008', '2006']","['89', '170', '7001', '17888', '28217']","
                €800k                ",€1.20m,['Right-Back'],['Austria'],"['Right Midfield', 'Centre-Back']"
15,Stephan Fürstner,/stephan-furstner/profil/spieler/35493,35493,"Sep 11, 1987 (29)",8,"['/1-fsv-mainz-05-ii/transfers/verein/851/saison_id/2022', '/eintracht-braunschweig/transfers/verein/23/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/spvgg-greuther-furth/transfers/verein/65/saison_id/2015', '/fc-bayern-munich-ii/transfers/verein/28/saison_id/2009', '/bayern-munich/transfers/verein/27/saison_id/2008', '/fc-bayern-munich-ii/transfers/verein/28/saison_id/2006', '/fc-bayern-munich-u19/transfers/verein/1462/saison_id/2005', '/fc-bayern-munich-u17/transfers/verein/21058/saison_id/2004', '/fc-bayern-munchen-youth/transfers/verein/18936/saison_id/2002']","['2022', '2020', '2018', '2015', '2009', '2008', '2006', '2005', '2004', '2002']","['89', '851', '23', '89', '65', '28', '27', '28', '1462', '21058', '18936']","
                -                ",€2.00m,['Defensive Midfield'],['Germany'],"['Central Midfield', 'Sweeper']"
16,Lennard Maloney,/lennard-maloney/profil/spieler/392710,392710,"Oct 8, 1999 (17)",33,"['/borussia-dortmund-ii/transfers/verein/17/saison_id/2022', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/chemnitzer-fc/transfers/verein/21/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/1-fc-union-berlin-u19/transfers/verein/7802/saison_id/2017', '/1-fc-union-berlin-u17/transfers/verein/21099/saison_id/2016']","['2022', '2020', '2019', '2019', '2017', '2016']","['89', '17', '89', '21', '89', '7802', '21099']","
                €1.20m                ",€1.20m,['Defensive Midfield'],"['United States', 'Germany']","['Centre-Back', 'Right-Back']"
17,Damir Kreilach,/damir-kreilach/profil/spieler/68884,68884,"Apr 16, 1989 (28)",-,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/hnk-rijeka/transfers/verein/144/saison_id/2013', '/hnk-rijeka-u19/transfers/verein/14444/saison_id/2007']","['2017', '2013', '2007']","['89', '89', '144', '14444']","
€1.20m ",€2.00m,['Central Midfield'],['Croatia'],"['Defensive Midfield', 'Attacking Midfield']"
18,Marcel Hartel,/marcel-hartel/profil/spieler/189073,189073,"Jan 19, 1996 (21)",7,"['/arminia-bielefeld/transfers/verein/10/saison_id/2021', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/1-fc-koln/transfers/verein/3/saison_id/2017', '/1-fc-koln-ii/transfers/verein/438/saison_id/2016', '/1-fc-koln-u19/transfers/verein/1461/saison_id/2015', '/1-fc-koln-u17/transfers/verein/21048/saison_id/2013', '/1-fc-koln-youth/transfers/verein/11880/saison_id/2012', '/sc-west-koln-youth/transfers/verein/38050/saison_id/2002']","['2021', '2019', '2017', '2016', '2015', '2013', '2012', '2002']","['89', '10', '89', '3', '438', '1461', '21048', '11880', '38050']","
                €1.80m                ",€2.80m,['Central Midfield'],['Germany'],"['Attacking Midfield', 'Left Winger']"
19,Felix Kroos,/felix-kroos/profil/spieler/31910,31910,"Mar 12, 1991 (26)",23,"['/eintracht-braunschweig/transfers/verein/23/saison_id/2021', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/sv-werder-bremen/transfers/verein/86/saison_id/2016', '/1-fc-union-berlin/transfers/verein/89/saison_id/2015', '/sv-werder-bremen/transfers/verein/86/saison_id/2015', '/fc-hansa-rostock/transfers/verein/30/saison_id/2010', '/fc-hansa-rostock-ii/transfers/verein/402/saison_id/2008', '/fc-hansa-rostock-u19/transfers/verein/4052/saison_id/2008', '/fc-hansa-rostock-u17/transfers/verein/21065/saison_id/2007', '/fc-hansa-rostock-youth/transfers/verein/11846/saison_id/2006', '/greifswalder-sc-youth/transfers/verein/42295/saison_id/2002']","['2021', '2020', '2016', '2015', '2015', '2010', '2008', '2008', '2007', '2006', '2002']","['89', '23', '89', '86', '89', '86', '30', '402', '4052', '21065', '11846', '42295']","
                -                ",€2.00m,['Central Midfield'],['Germany'],"['Attacking Midfield', 'Defensive Midfield']"
20,Grischa Prömel,/grischa-promel/profil/spieler/234029,234029,"Jan 9, 1995 (22)",21,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2022', '/karlsruher-sc/transfers/verein/48/saison_id/2017', '/tsg-1899-hoffenheim/transfers/verein/533/saison_id/2015', '/tsg-1899-hoffenheim-ii/transfers/verein/983/saison_id/2015', '/tsg-1899-hoffenheim-u19/transfers/verein/8925/saison_id/2014', '/stuttgarter-kickers-u19/transfers/verein/6760/saison_id/2013', '/stuttgarter-kickers-u17/transfers/verein/26561/saison_id/2012', '/stuttgarter-kickers-youth/transfers/verein/29815/saison_id/2010', '/tsv-rsk-esslingen-youth/transfers/verein/64642/saison_id/2009']","['2022', '2017', '2015', '2015', '2014', '2013', '2012', '2010', '2009']","['89', '89', '48', '533', '983', '8925', '6760', '26561', '29815', '64642']","
                €7.00m                ",€7.50m,['Central Midfield'],['Germany'],"['Defensive Midfield', 'Attacking Midfield']"
21,Dennis Daube,/dennis-daube/profil/spieler/39240,39240,"Jul 11, 1989 (27)",10,"['/preussen-munster/transfers/verein/91/saison_id/2023', '/kfc-uerdingen-05/transfers/verein/95/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/fc-st-pauli/transfers/verein/35/saison_id/2015', '/fc-st-pauli-u19/transfers/verein/2486/saison_id/2008', '/fc-st-pauli-u17/transfers/verein/21062/saison_id/2006']","['2023', '2020', '2018', '2015', '2008', '2006']","['89', '91', '95', '89', '35', '2486', '21062']","
                €50k                ",€1.00m,['Central Midfield'],['Germany'],"['Defensive Midfield', 'Attacking Midfield']"
22,Cihan Kahraman,/cihan-kahraman/profil/spieler/303308,303308,"Oct 8, 1998 (18)",36,"['/hertha-bsc-ii/transfers/verein/45/saison_id/2021', '/berliner-ak-07/transfers/verein/584/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/fsv-union-furstenwalde/transfers/verein/5300/saison_id/2018', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/1-fc-union-berlin-u19/transfers/verein/7802/saison_id/2017', '/1-fc-union-berlin-u17/transfers/verein/21099/saison_id/2015', '/1-fc-union-berlin-youth/transfers/verein/36841/saison_id/2013', '/turkiyemspor-berlin-youth/transfers/verein/32436/saison_id/2012']","['2021', '2020', '2019', '2018', '2018', '2017', '2015', '2013', '2012']","['89', '45', '584', '89', '5300', '89', '7802', '21099', '36841', '32436']","
                €400k                ",€425k,['Central Midfield'],"['Turkey', 'Germany']","['Defensive Midfield', 'Attacking Midfield']"
23,Kenny Prince Redondo,/kenny-prince-redondo/profil/spieler/196147,196147,"Aug 29, 1994 (22)",18,"['/spvgg-greuther-furth/transfers/verein/65/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/spvgg-unterhaching/transfers/verein/66/saison_id/2015', '/spvgg-unterhaching-u19/transfers/verein/8207/saison_id/2013', '/spvgg-unterhaching-u17/transfers/verein/33034/saison_id/2011', '/spvgg-unterhaching-youth/transfers/verein/36747/saison_id/2009', '/rot-weiss-oberfohring-youth/transfers/verein/65718/saison_id/2007']","['2020', '2018', '2015', '2013', '2011', '2009', '2007']","['89', '65', '89', '66', '8207', '33034', '36747', '65718']","
                €750k                ",€750k,['Left Winger'],"['Germany', 'Spain']","['Centre-Forward', 'Right Winger']"
24,Berkan Taz,/berkan-taz/profil/spieler/451380,451380,"Dec 19, 1998 (18)",31,"['/borussia-dortmund-ii/transfers/verein/17/saison_id/2022', '/sc-verl/transfers/verein/93/saison_id/2021', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/fc-energie-cottbus/transfers/verein/25/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/1-fc-union-berlin-u19/transfers/verein/7802/saison_id/2017', '/fc-hertha-03-zehlendorf/transfers/verein/2943/saison_id/2016', '/fc-hertha-03-zehlendorf-u19/transfers/verein/10342/saison_id/2016']","['2022', '2021', '2020', '2019', '2019', '2017', '2016', '2016']","['89', '17', '93', '89', '25', '89', '7802', '2943', '10342']","
                €275k                ",€400k,['Left Winger'],"['Germany', 'Turkey']","['Attacking Midfield', 'Right Winger']"
25,Akaki Gogia,/akaki-gogia/profil/spieler/92472,92472,"Jan 18, 1992 (25)",11,"['/fc-zurich/transfers/verein/260/saison_id/2022', '/1-fc-union-berlin/transfers/verein/89/saison_id/2021', '/sg-dynamo-dresden/transfers/verein/129/saison_id/2017', '/brentford-fc/transfers/verein/1148/saison_id/2017', '/sg-dynamo-dresden/transfers/verein/129/saison_id/2016', '/brentford-fc/transfers/verein/1148/saison_id/2016', '/hallescher-fc/transfers/verein/440/saison_id/2015', '/vfl-wolfsburg/transfers/verein/82/saison_id/2013', '/fc-st-pauli/transfers/verein/35/saison_id/2012', '/vfl-wolfsburg/transfers/verein/82/saison_id/2012', '/fc-augsburg/transfers/verein/167/saison_id/2012', '/vfl-wolfsburg/transfers/verein/82/saison_id/2011', '/vfl-wolfsburg-ii-2021-/transfers/verein/143/saison_id/2010', '/vfl-wolfsburg-u19/transfers/verein/5343/saison_id/2010', '/vfl-wolfsburg-u17/transfers/verein/21087/saison_id/2009', '/vfl-wolfsburg-youth/transfers/verein/12821/saison_id/2007', '/hannover-96-youth/transfers/verein/17295/saison_id/2004', '/fsv-67-halle-youth/transfers/verein/68747/saison_id/2002']","['2022', '2021', '2017', '2017', '2016', '2016', '2015', '2013', '2012', '2012', '2012', '2011', '2010', '2010', '2009', '2007', '2004', '2002']","['89', '260', '89', '129', '1148', '129', '1148', '440', '82', '35', '82', '167', '82', '143', '5343', '21087', '12821', '17295', '68747']","
                €300k                ",€1.30m,['Right Winger'],"['Germany', 'Georgia']","['Left Winger', 'Attacking Midfield']"
